Date,Price,High,Low,Open,Volume
3/1/1995,0.284479082,0.288185412,0.280772751,0.288185412,103868800
4/1/1995,0.291892439,0.293745591,0.286332117,0.286332117,158681600
5/1/1995,0.288185328,0.291892499,0.28725874,0.290965069,73640000
6/1/1995,0.311351448,0.319691509,0.30486538,0.308571708,1076622400
9/1/1995,0.305444181,0.310424975,0.303938063,0.308571822,274086400
10/1/1995,0.323861301,0.326177735,0.305792117,0.305792117,614790400
11/1/1995,0.346564204,0.356293322,0.316447785,0.324324568,873824000
12/1/1995,0.336370945,0.343784445,0.331738052,0.341930452,551779200
13/1/1995,0.332664639,0.341930475,0.328957492,0.341930475,351377600
16/1/1995,0.329883993,0.33544434,0.328030841,0.332664575,188977600
17/1/1995,0.333591253,0.337297583,0.32710434,0.329884081,330108800
18/1/1995,0.338224202,0.338224202,0.33173813,0.333591283,127657600
19/1/1995,0.340077311,0.341003899,0.33359124,0.33729757,314294400
20/1/1995,0.315984428,0.348417298,0.31505784,0.348417298,1000361600
23/1/1995,0.313204736,0.315984501,0.303938083,0.310424994,398540800
24/1/1995,0.308571756,0.314131236,0.306718579,0.313204648,218097600
25/1/1995,0.303822696,0.311351603,0.292819137,0.292819137,517070400
26/1/1995,0.292819142,0.307645279,0.290965124,0.303011543,246388800
27/1/1995,0.295598865,0.299305194,0.289111952,0.295598865,298569600
30/1/1995,0.297452033,0.300231774,0.29559888,0.297452033,230585600
31/1/1995,0.29930529,0.303011621,0.296525548,0.300231854,212777600
1/2/1995,0.297452033,0.302084951,0.29559888,0.302084951,158368000
2/2/1995,0.308571756,0.310424908,0.297451929,0.297451929,203582400
3/2/1995,0.300231725,0.312278143,0.299305161,0.311351554,319211200
6/2/1995,0.300231725,0.302084902,0.292819091,0.302084902,243028800
7/2/1995,0.30254817,0.30393804,0.296525407,0.299305148,201600000
8/2/1995,0.313667983,0.314131265,0.303011461,0.303938025,402864000
9/2/1995,0.323398054,0.325251231,0.312278246,0.312278246,475395200
10/2/1995,0.324324489,0.327567536,0.321544748,0.3233979,350963200
13/2/1995,0.325216144,0.33079091,0.321499626,0.323357898,283371200
14/2/1995,0.319176972,0.328003705,0.316853325,0.325216321,165614400
15/2/1995,0.316388756,0.323358085,0.3159242,0.321499812,184475200
16/2/1995,0.321035117,0.321499672,0.316853199,0.320570537,218780800
